Pesticides Database - Active Substances (File created on 2021-05-18),,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
Active Substance ID,Substance,Category,Status under Reg. (EC) No 1107/2009,Date of approval,Expiration of approval,Legislation,Remark,RMS,Co-RMS,Assess Risk,Reg 396/2005,Candidate for substitution,Basic substance,Low-risk a.s.,ADI (mg/kg bw/d), Source/Year, Remark, ARfD (mg/kg bw), Source/Year, Remark, AOEL (mg/kg bw/d), Source/Year, Remark, Classification (Reg. 1272/2008), Authorised
1331,"(E,Z)-9-Dodecen-1-yl acetate",,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,CZ
1340,"(E,Z)-9-dodecen-1-yl acetate; (E,Z)-9-Dodecen-1-ol; (Z)-11-Tetradecen-1-yl acetate",AT,Not approved,,,,attr/rep/org,,,,,,,,,,,,,,,,,,"BE, IT"
1240,"(E,Z,Z)-3,8,11-Tetradecatrien-1-yl acetate",AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,"AT, BE, CY, CZ, DE, EL, ES, HU, IE, IT, NL, UK"
365,"(IR)-1,3,3-Trimethyl-4,6-dioxatricyclo[3.3.1.02,7]nonane (lineatin)",,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,
366,(Z)-11-Hexadecen-1-ol,AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,ES
367,(Z)-11-Hexadecen-1-yl acetate,AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,
1017,(Z)-11-Hexadecenal,AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,"BE, IT"
368,(Z)-11-Tetradecen-1-yl acetate,AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,"AT, BE, CZ, DK, EE, EL, ES, FI, HU, IT, NL, PL, SE, UK"
810,(Z)-13-Hexadecen-11-yn-1-yl acetate,AT,Not approved,,,"2008/127, Reg. (EU) 2015/418, Reg. (EU) 2016/638, Reg. (EU) No 540/2011",Max. period of grace: 13 November 2017,AT,,,,,,,Not appl.,Dir 08/127,,Not appl.,Dir 08/127,,Not appl.,Dir 08/127,,,
1341,(Z)-13-Octadecenal,AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,ES
369,"(Z)-3-Methyl-6-isopropenyl-3,4-decadien-1-yl acetate",AT,Not approved,,,2004/129/EC,,,,,,,,,,,,,,,,,,,
370,(Z)-3-Methyl-6-isopropenyl-9-decen-1-yl acetate,AT,Not approved,,,2004/129/EC,,,,,,,,,,,,,,,,,,,
371,(Z)-5-Dodecen-1-yl acetate,AT,Not approved,,,2004/129/EC,,,,,,,,,,,,,,,,,,,
372,(Z)-7-Tetradecanole,AT,Not approved,,,2004/129/EC,,,,,,,,,,,,,,,,,,,
1342,(Z)-7-Tetradecenal,AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,
373,(Z)-8-Dodecen-1-ol,AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,"AT, CZ, DE, EL, ES, HU, IT, NL, PT, SI"
374,(Z)-8-Dodecen-1-yl acetate,AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,"AT, CZ, DE, EL, ES, HU, IT, LU, NL, SI"
1245,(Z)-8-Tetradecen-1-ol,,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,"BE, PL"
1246,(Z)-8-Tetradecen-1-yl acetate,,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,"BE, PL"
375,(Z)-9-Dodecen-1-yl acetate,AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,"AT, CZ, DE, HU, IT, LU, SI"
376,(Z)-9-Hexadecenal,AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,ES
377,(Z)-9-Tetradecen-1-yl acetate,AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,"AT, BE, CZ, DK, EL, HU, IT, PL"
1343,(Z)-9-Tricosene (formerly Z-9-Tricosene),AT,Not approved,,,,attr/rep/org,,,,,,,,,,,,,,,,,,
1380,"(Z,E)-3,7,11-trimethyl-2,6,10-dodecatrien-1-ol ( aka Farnesol)",AT,Not approved,,,,Never notified and authorised in the EU,,,,,,,,,,,,,,,,,,
353,"(Z,E)-7,11-Hexadecadien-1-yl acetate",AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,FR,COM,,,,,,,,,,,,,,,"EL, ES"
353,"(Z,E)-7,11-Hexadecadien-1-yl acetate",AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,IT,FR,COM,,,,,,,,,,,,,,,"EL, ES"
1226,"(Z,E)-9,11-tetradecadien-1-yl-acetate",,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,
356,"(Z,E)-9,12-Tetradecadien-1-yl acetate",AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,Not appl.,Dir 08/127,,Not appl.,Dir 08/127,,Not appl.,Dir 08/127,,,
354,"(Z,Z)-7,11-Hexadecadien-1-yl acetate",AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,IT,FR,COM,,,,,,,,,,,,,,,EL
354,"(Z,Z)-7,11-Hexadecadien-1-yl acetate",AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,FR,COM,,,,,,,,,,,,,,,EL
378,"(Z,Z)-Octadien-1-yl acetate",,Not approved,,,2004/129/EC,,,,,,,,,,,,,,,,,,,
379,"(Z,Z,Z,Z)-7,13,16,19-Docosatetraen-1-yl isobutyrate",AT,Not approved,,,"2008/127, Reg. (EU) 2015/308, Reg. (EU) 2016/636, Reg. (EU) No 540/2011",Max. period of grace: 13 November 2017,IT,FR,,,,,,,EFSA 2014,Not set due to insufficient data,,EFSA 2014,Not set due to insufficient data,,EFSA 2014,Not set due to insufficient data,,
382,"1,1-dichloro-2,2-bis-(4-ethyl-phenyl-) ethane",,Not approved,,,,Never notified and authorised in the EU,,,,Reg. (EC) No 149/2008,,,,,,,,,,,,,,
825,"1,2-Dibromoethane",,Not approved,,,,Banned,,,,Reg. (EC) No 149/2008,,,,,,,,,,,,,"Acute Tox. 3 - H301, Acute Tox. 3 - H311, Acute Tox. 3 - H331, Aquatic Chronic 2 - H411, Carc. 1B - H350, Eye Irrit. 2 - H319, STOT SE 3 - H335, Skin Irrit. 2 - H315",
1344,"1,2-Dichloroethane",,Not approved,,,,Banned,,,,Reg. (EC) No 149/2008,,,,,,,,,,,,,,
383,"1,2-Dichloropropane",ST,Not approved,,,2002/2076,,,,,,,,,,,,,,,,,,"Acute Tox. 4 - H302, Acute Tox. 4 - H332, Carc. 1B - H350, Flam. Liq. 2 - H225",
381,"1,3,5-tri-(2-hydroxyethyl)-hexa-hydro-s-triazyne",,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,"Acute Tox. 4 - H302, Skin Sens. 1 - H317",
384,"1,3-Dichloropropene","HB, NE",Pending,,,"2007/619/EC, 2011/36/EU",Admissible application according to Article 9 of Regulation (EC) No 1107/2009. Date of admissibility: 07/07/2015,ES,,,"Reg. (EC) No 149/2008, Reg. (EU) 2015/552",,,,,,,0.2 mg/kg bw,EFSA 06,,0.1 mg/kg bw/day,EFSA 06,,"Acute Tox. 3 - H301, Acute Tox. 3 - H311, Acute Tox. 4 - H332, Aquatic Acute 1 - H400, Aquatic Chronic 1 - H410, Asp. Tox. 1 - H304, Eye Irrit. 2 - H319, Flam. Liq. 3 - H226, STOT SE 3 - H335, Skin Irrit. 2 - H315, Skin Sens. 1 - H317",
385,"1,3-Dichloropropene (cis)","HB, NE",Not approved,,,2002/2076,,,,,"Reg. (EC) No 149/2008, Reg. (EU) 2015/552",,,,,,,,,,,,,"Acute Tox. 3 - H301, Acute Tox. 3 - H311, Acute Tox. 4 - H332, Aquatic Acute 1 - H400, Aquatic Chronic 1 - H410, Asp. Tox. 1 - H304, Eye Irrit. 2 - H319, Flam. Liq. 3 - H226, STOT SE 3 - H335, Skin Irrit. 2 - H315, Skin Sens. 1 - H317",
386,"1,3-Diphenyl urea",PG,Not approved,,,2002/2076,,,,,,,,,,,,,,,,,,,
1203,"1,4-Dimethylnaphthalene",PG,Approved,01/07/2014,30/06/2025,"2010/244/EU, Reg. (EU) 2018/155, Reg. (EU) 2020/2007, Reg. (EU) No 192/2014, Reg. (EU) No 540/2011",<p>The original RMS was NL</p>,AT,PL,EFSA,Regulation (EU) 2015/399,,,,0.1 mg/kg bw/day,EFSA 2013,,Not appl.,EFSA 2013,,0.32 mg/kg bw/day,EFSA 2013,,,"AT, BE, CY, CZ, DE, DK, FI, FR, HR, IE, LT, LU, LV, NL, PL, SE"
387,"1,7-Dioxaspiro-[5.5]-undecane",AT,Not approved,,,,Never notified and authorised in the EU,,,,,,,,,,,,,,,,,,
826,1-Decanol,PG,Approved,01/06/2011,31/08/2024,"2011/33/EU, Re. (EU) No 2018/1266, Reg. (EU) 2020/2007, Reg. (EU) No 540/2011",Initially non included by Decision 2008/941. Included as from 1 June 2011 following re-submission for inclusion according to Reg. 33/2008,PL,IT,EFSA,"Reg. (EC) No 839/2008, Reg. (EU) 2019/1791",,,,,,,,,,,,,,"BE, DE, EL, ES, FR, HR, HU, IT, PL, PT"
388,1-Methoxy-4-propenylbenzene (Anethole),,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,
389,1-Methyl-4-isopropylidenecyclohex-1-ene (Terpinolene),,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,
390,1-methylcyclopropene,PG,Approved,01/08/2019,31/07/2034,"06/19/EC, Reg. (EU) 2017/1511, Reg. (EU) 2018/1262, Reg. (EU) 2019/1085, Reg. (EU) No 533/2013, Reg. (EU) No 540/2011",The original RMS was UK.,NL,PT,EFSA,"Reg. (EC) No 149/2008, Reg. (EU) 2016/71, Reg. (EU) 2020/1565",,,,0.02 mg/kg bw/day,Reg. (EU) 2019/1085,,0.12 mg/kg bw,Reg. (EU) 2019/1085,,0.04 mg/kg bw/day,Reg. (EU) 2019/1085,,,"AT, BE, BG, CZ, DE, DK, EE, EL, ES, FR, HR, HU, IE, IT, LT, LU, NL, PT, RO, SI, SK, UK"
391,1-Naphthylacetamide (1-NAD),PG,Approved,01/01/2012,31/12/2023,"2008/941/EC, Reg. (EU) No 2019/291, Reg. (EU) No 540/2011, Reg. (EU) No 786/2011",,HU,FR,EFSA,"Reg. (EC) No 149/2008, Reg. (EU) 2016/1015",,,,0.1 mg/kg bw/day,EFSA 11,,0.1 mg/kg bw,EFSA 11,,0.07 mg/kg bw/day,EFSA 11,,,"AT, BE, CY, ES, FR, HR, IT, PL, PT, SI"
380,1-Naphthylacetic acid (1-NAA),PG,Approved,01/01/2012,31/12/2023,"2008/941/EC, Reg. (EU) No 2019/291, Reg. (EU) No 540/2011, Reg. (EU) No 787/2011",,HU,FR,EFSA,"Reg. (EC) No 149/2008, Reg. (EU) 2016/1015",,,,0.1 mg/kg bw/day,EFSA 11,,0.1 mg/kg bw,EFSA 11,,0.07 mg/kg bw/day,EFSA 11,,,"AT, BE, CY, CZ, DE, EL, ES, FR, HR, IE, IT, LT, LV, MT, NL, PT, RO, SI, UK"
827,"2,3,6-TBA",HB,Not approved,,,2002/2076,,,,,,,,,,,,,,,,,,"Acute Tox. 4 - H302, Aquatic Chronic 2 - H411",
393,"2,4,5-T",HB,Not approved,,,2002/2076,,,,,"Reg. (EC) No 149/2008, Reg. (EU) 2015/868",,,,0.03 mg/kg bw/day,JMPR 1981,,,,,,,,"Acute Tox. 4 - H302, Aquatic Acute 1 - H400, Aquatic Chronic 1 - H410, Eye Irrit. 2 - H319, STOT SE 3 - H335, Skin Irrit. 2 - H315",
394,"2,4-D","HB, PG",Approved,01/01/2016,31/12/2030,"01/103/EC, 2010/77/EU, Reg. (EU) 2015/1885, Reg. (EU) 2015/2033, Reg. (EU) No 540/2011",,EL,PL,EFSA,"Reg. (EC) No 149/2008, Reg. (EU) 2019/1791, Reg. (EU) No 1317/2013, SANTE/12078/2020",,,,0.02 mg/kg bw/day,Reg. (EU) 2015/2033,Revised Renewal Report 2017,0.3 mg/kg bw,Reg. (EU) 2015/2033,Revised Renewal Report 2017,0.02 mg/kg bw/day,Reg. (EU) 2015/2033,Revised Renewal Report 2017,"Acute Tox. 4 - H302, Aquatic Chronic 3 - H412, Eye Dam. 1 - H318, STOT SE 3 - H335, Skin Sens. 1 - H317","AT, BE, BG, CY, CZ, DE, DK, EE, EL, ES, FI, FR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK, UK"
395,"2,4-DB",HB,Approved,01/11/2017,31/10/2032,"03/31/EC, Reg. (EU) 2016/950, Reg. (EU) 2017/1491, Reg. (EU) No 540/2011, Reg. (EU) No 823/2012",The original RMS was Greece.,BE,EL,EFSA,"Reg. (EC) No 149/2008, Reg. (EU) No 668/2013",,,,0.02 mg/kg bw/day,Reg. (EU) 2017/1491,,0.3 mg/kg bw,Reg. (EU) 2017/1491,,0.02 mg/kg bw/day,Reg. (EU) 2017/1491,,"Acute Tox. 4 - H302, Aquatic Chronic 2 - H411","BE, ES, IE, LU, NL, UK"
617,"2,5-Dichlorobenzoic acid methylester","FU, PG",Approved,01/09/2009,31/08/2022,"2008/125, Reg. (EU) No 540/2011, Reg. (Eu) 2017/195",,FR,AT,EFSA,Reg. (EU) 2019/1176,,,,,,,,,,,,,,"AT, DE, FR, IT"
396,"2,6,6-Trimethylbicyclo(3.1.1)hept-2-en-4-ol",,Not approved,,,,attr/rep/org,,,,,,,,,,,,,,,,,,
397,"2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene (alpha-Pinen)",,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,
392,2-(dithiocyanomethylthio)-benzothiazol,FU,Not approved,,,2002/2076,,,,,,,,,,,,,,,,,,,
828,2-Aminobutane (aka sec-butylamine),FU,Not approved,,,2002/2076,,,,,,,,,,,,,,,,,,"Acute Tox. 4 - H302, Acute Tox. 4 - H332, Aquatic Acute 1 - H400, Flam. Liq. 2 - H225, Skin Corr. 1A - H314",
398,2-Benzyl-4-chlorophenol,FU,Not approved,,,Reg. (EC) No 2076/2002,,,,,,,,,,,,,,,,,,,
399,"2-Ethyl-1,6-dioxaspiro (4,4) nonan (chalcogran)",,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,
400,2-Hydroxyethyl butyl sulfide,,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,
401,2-Mercaptobenzothiazole,,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,
402,2-Methoxy-5-nitrofenol sodium salt (ISO: nitrophenolate mixture),,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,
403,2-Methoxypropan-1-ol,,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,"Eye Dam. 1 - H318, Flam. Liq. 3 - H226, Repr. 1B - H360D, STOT SE 3 - H335, Skin Irrit. 2 - H315",
404,2-Methoxypropan-2-ol,,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,
405,2-Methyl-3-buten-2-ol,,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,
406,"2-Methyl-6-methylene-2,7-octadien-4-ol (ipsdienol)",,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,
407,2-Methyl-6-methylene-7-octen-4-ol (Ipsenol),,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,
408,2-Naphthyloxyacetamide,"HB, PG",Not approved,,,,Plant extract,,,,,,,,,,,,,,,,,,
1032,2-Naphthyloxyacetic acid (2-NOA),PG,Not approved,,,"2009/65, Reg. (EU) No 1127/2011",Substance not approved after&nbsp;resubmission for inclusion under Reg 33/2008. Previous RMS: FR.,IT,,,,,,,0.01 mg/kg bw/day,EFSA 11,,0.6 mg/kg bw,EFSA 11,,0.03 mg/kg bw/day,EFSA 11,,,
1013,2-Phenylphenol (incl. sodium salt orthophenyl phenol),FU,Approved,01/01/2010,31/12/2021,"2009/160/EC, 2010/81/EU, Reg. (EU) No 540/2011",Reg. (EU) 2017/555,ES,EL,EFSA,"Reg. (EU) 2018/78, Reg. (EU) No 304/2010, Reg. (EU) No 34/2013, Reg. (EU) No 737/2014",,,,0.4 mg/kg bw/day,EFSA 08,,Not appl.,EFSA 08,,0.4 mg/kg bw/day,EFSA 08,,"Aquatic Acute 1 - H400, Eye Irrit. 2 - H319, STOT SE 3 - H335, Skin Irrit. 2 - H315","CY, EL, ES, HR, PT"
1033,2-Propanol,,Not approved,,,2004/129/EC,,,,,,,,,,,,,,,,,,,
1337,24-Epibrassinolide,,Approved,31/03/2021,31/03/2036,Reg. (EU) 2021/427,<p>Admissible application according to Article 9 of Regulation (EC) No 1107/2009. Date of admissibility: 30/05/2017</p>,AT,,,,,,Yes,,,,,,,,,,,
855,3(3-Benzyloxycarbonyl-methyl)-2-benzothiazolinone (Benzolinone),,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,
1034,"3,7,11-Trimethyl-1,6,10-dodecatrien-3-ol (aka Nerolidol)",,Not approved,,,,Never notified and authorised in the EU,,,,,,,,,,,,,,,,,,
1035,"3,7,7-Trimethylbicyclo[4.1.0]hept-3-ene (3-Carene)",,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,
1037,"3,7-Dimethyl-2,6-octadienal",AT,Not approved,,,2004/129/EC,,,,,,,,,,,,,,,,,,,
1062,3-decen-2-one,PG,Pending,,,Reg. (EU) 2016/138,Originally not approved: &nbsp;Reg. (EU) 2016/138<br />Admissible application according to Article 9 of Regulation (EC) No 1107/2009. Date of admissibility: 29/08/2017<br /><br />,NL,,,Reg. (EU) 2016/1866,,,,,Reg. (EU) 2016/138,Not set due to insufficient data,,Reg. (EU) 2016/138,Not set due to insufficient data,,Reg. (EU) 2016/138,Not set due to insufficient data,,
